damage,date,day,deaths,focal_depth,hour,houses_damaged,houses_destroyed,id,intensity,location,magnitude,minute,missing,month,name,second,total_damage,total_deaths,total_houses_damaged,total_houses_destroyed,total_missing,year
,0557-10-14,14.0,,,,,,5893,,POINT (27.6000000000000014 40.8999999999999986),,,,10.0,TURKEY:  MARMARA SEA,14.0,,,,,,557
,,,,,,,,9971,9.0,POINT (27.6000000000000014 40.8999999999999986),,,,,TURKEY:  ISTANBUL (CONSTANTINOPLE),,,,,,,557
,0558-12-14,14.0,,,,,,146,9.0,POINT (28.8000000000000007 40.8999999999999986),,,,12.0,TURKEY,14.0,,,,,,558
,0558-12-25,25.0,,,,,,147,10.0,POINT (13.5000000000000000 43.6000000000000014),,,,12.0,ITALY:  ANCONA,25.0,,,,,,558
,,,30000.0,,,,,148,,POINT (36.1000000000000014 36.2000000000000028),,,,,TURKEY:  ANTAKYA (ANTIOCH),,,,,,,565
,,,,,,,,149,10.0,POINT (15.3000000000000007 45.6000000000000014),,,,,BALKANS NW:  SLOVENIA,,,,,,,567
,,,,,,,,150,,POINT (36.0000000000000000 36.0000000000000000),,,,,TURKEY:  ANTAKYA (ANTIOCH),,,,,,,579
,0581-07-09,9.0,,,,,,151,9.0,POINT (36.1000000000000014 36.1000000000000014),,,,7.0,TURKEY:  ANTAKYA (ANTIOCH),9.0,,,,,,581
,0587-09-30,30.0,60000.0,,,,,152,9.0,POINT (36.1000000000000014 36.2500000000000000),,,,9.0,TURKEY:  ANTAKYA (ANTIOCH),30.0,,60000.0,,,,587
,0600-12-13,13.0,101.0,,,,,154,7.0,POINT (108.9000000000000057 34.2999999999999972),,,,12.0,CHINA:  SHAANXI PROVINCE,13.0,,101.0,,,,600
,,,1000.0,,,,,155,,POINT (15.0000000000000000 41.0000000000000000),,,,,ITALY,,,,,,,614
,,,,,,,,156,,POINT (46.2000000000000028 38.0000000000000000),,,,,IRAN:  TABRIZ,,,,,,,634
,0649-09-12,12.0,50.0,,,,,158,7.0,POINT (111.5000000000000000 36.1000000000000014),,,,9.0,CHINA:  SHAANXI PROVINCE:  LINFEN,12.0,,50.0,,,,649
,0662-04-26,26.0,40000.0,,,,,159,,POINT (54.0000000000000000 35.2999999999999972),,,,4.0,"IRAN:  QUMIS:  SEMNAN,DAMGHAN",26.0,,,,,,662
,0664-09-12,12.0,,,,,,160,8.0,POINT (129.0999999999999943 35.5000000000000000),,,,9.0,SOUTH KOREA:  KYONGJU,12.0,,,,,,664
,,,,,,,,161,7.0,POINT (43.5000000000000000 35.0000000000000000),,,,,IRAQ:  JAZIRAH:  BETWEEN TIGRIS AND THARTHAR RIVERS,,,,,,,678
,0684-11-29,29.0,,,,,,162,,POINT (134.0000000000000000 32.5000000000000000),,,,11.0,JAPAN,29.0,,,,,,684
,,,2000.0,,,,,163,9.0,POINT (27.1999999999999993 38.3999999999999986),,,,,TURKEY:  IZMIR,,,,,,,688
,0701-05-12,12.0,,,,,,5894,,POINT (135.4000000000000057 35.7000000000000028),,,,5.0,JAPAN:  KYOTO PREFECTURE,12.0,,,,,,701
,0704-08-02,2.0,,,,,,5895,,POINT (136.6999999999999886 33.7999999999999972),,,,8.0,JAPAN:  KUMANONADA,2.0,,,,,,704
,0713-03-20,20.0,,,,,,166,7.0,POINT (36.0000000000000000 36.0000000000000000),,,,3.0,TURKEY:  ANTAKYA (ANTIOCH),20.0,,,,,,713
,,,,,,,,167,9.0,POINT (28.8999999999999986 40.3999999999999986),,,,,TURKEY:  IZNIK,,,,,,,715
,0716-08-25,25.0,,,,,,168,,POINT (36.0000000000000000 36.0000000000000000),,,,8.0,TURKEY:  ANTAKYA (ANTIOCH),25.0,,,,,,716
